sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SBS-49-MK	103519	68774	66.44	68647	68519	66.19	68400	66.07
SBS-5-MK	9672	6021	62.25	5957	5849	60.47	5838	60.36
SBS-50-MK	74729	51463	68.87	51411	51348	68.71	51290	68.63
SBS-51-MK	86908	56402	64.9	56276	56045	64.49	55582	63.95
SBS-52-MK	37317	15449	41.4	15427	15357	41.15	15355	41.15
SBS-53-MK	217385	151986	69.92	151286	149502	68.77	139444	64.15
SBS-54-MK	169383	115557	68.22	115213	114419	67.55	109968	64.92
SBS-55-MK	123263	88390	71.71	88285	88207	71.56	87933	71.34
SBS-56-MK	6968	4881	70.05	4828	4782	68.63	4766	68.4
SBS-57-MK	107821	70221	65.13	70188	70099	65.01	70057	64.98
SBS-58-MK	276447	195436	70.7	194675	193365	69.95	190527	68.92
SBS-59-MK	35345	23680	67	23652	23635	66.87	22928	64.87
SBS-6-MK	26702	18104	67.8	18043	17955	67.24	17901	67.04
SBS-7-MK	86236	55520	64.38	55393	55293	64.12	55270	64.09
SBS-8-MK	62013	39987	64.48	39908	39803	64.18	39787	64.16
SBS-9-MK	185740	121016	65.15	120872	120706	64.99	120661	64.96
