	EG-1-MK	EG-10-MK	EG-11-MK	EG-13-MK	EG-14-MK	EG-15-MK	EG-16-MK	EG-17-MK	EG-18-MK	EG-19-MK	EG-2-MK	EG-20-MK	EG-21-MK	EG-22-MK	EG-23-MK	EG-24-MK	EG-25-MK	EG-26-MK	EG-27-MK	EG-28-MK	EG-29-MK	EG-3-MK	EG-30-MK	EG-31-MK	EG-32-MK	EG-33-MK	EG-34-MK	EG-4-MK	EG-5-MK	EG-6-MK	EG-7-MK	EG-8-MK	EG-9-MK	SBS-1-MK	SBS-10-MK	SBS-11-MK	SBS-12-MK	SBS-13-MK	SBS-14-MK	SBS-15-MK	SBS-16-MK	SBS-17-MK	SBS-18-MK	SBS-19-MK	SBS-2-MK	SBS-20-MK	SBS-21-MK	SBS-22-MK	SBS-23-MK	SBS-24-MK	SBS-25-MK	SBS-26-MK	SBS-27-MK	SBS-28-MK	SBS-29-MK	SBS-3-MK	SBS-30-MK	SBS-31-MK	SBS-32-MK	SBS-33-MK	SBS-34-MK	SBS-35-MK	SBS-36-MK	SBS-37-MK	SBS-38-MK	SBS-39-MK	SBS-4-MK	SBS-40-MK	SBS-41-MK	SBS-42-MK	SBS-43-MK	SBS-44-MK	SBS-45-MK	SBS-46-MK	SBS-47-MK	SBS-48-MK	SBS-49-MK	SBS-50-MK	SBS-51-MK	SBS-52-MK	SBS-53-MK	SBS-54-MK	SBS-55-MK	SBS-57-MK	SBS-58-MK	SBS-59-MK	SBS-6-MK	SBS-7-MK	SBS-8-MK	SBS-9-MK
EG-1-MK	0.0	0.909425543781372	0.9355270496374791	0.9376464026770776	0.7127718906860011	0.9235917456776352	0.7639709983268266	0.7086447295036252	0.6070273284997212	0.886670384829894	0.9248187395426659	0.811266034578918	0.7900725041829336	0.57010596765198	0.848968209704406	0.8421639709983268	0.6237590630228667	0.633909648633575	0.8745119910764082	0.9720022308979365	0.5885108756274401	0.8423870607919688	0.864249860568879	0.5075292805354155	0.886558839933073	0.9467930842163971	0.9480200780814277	0.6696040156162856	0.8581148912437256	0.626659230340212	0.9373117679866146	0.7388733965421082	0.8179587283881763	0.7870607919687674	0.9039598438371444	0.9373117679866146	0.8549916341327384	0.9301728945900725	0.917010596765198	0.9403234802007808	0.8826547685443391	0.9714445064138316	0.9680981595092024	0.8693809258226436	0.9669827105409927	0.9430005577244841	0.9521472392638037	0.8470719464584495	0.9562744004461796	0.886893474623536	0.8255437813720022	0.8912437255995538	0.9687674288901282	0.9312883435582822	0.9012827663134412	0.9563859453430006	0.8184049079754602	0.6843279419966537	0.9162297824874512	0.8429447852760736	0.7100948131622978	0.9935303959843838	0.9954266592303402	0.9286112660345789	0.830117122141662	0.6692693809258227	0.9813720022308979	0.9025097601784718	0.603569436698271	0.9556051310652538	0.9610708310094813	0.8593418851087563	0.9868377021751255	0.9638594534300056	0.9662018962632459	0.9568321249302845	0.868042387060792	0.9519241494701618	0.9727830451756833	0.8765197992191858	0.9776910206358059	0.9733407696597881	0.7794757389849415	0.9567205800334635	0.9350808700501952	0.652983825989961	0.9486893474623536	0.7656441717791411	0.7369771332961517	0.9064138315672058
EG-10-MK	0.909425543781372	0.0	0.8261015058561071	0.48087005019520357	0.6808700501952035	0.9235917456776352	0.7766871165644171	0.9364194088120469	0.9156720580033464	0.7447852760736197	0.9353039598438372	0.5945343000557725	0.7476854433909649	0.8088120468488567	0.8296709425543781	0.5201338538761852	0.8986056887897379	0.8856664807585053	0.7194645844952593	0.7459007250418294	0.7406581148912438	0.8100390407138873	0.8315672058003346	0.8912437255995538	0.8842163970998327	0.8817624093697713	0.5755716675962075	0.8667038482989403	0.9237032905744562	0.8706079196876743	0.9179029559397658	0.7688789737869492	0.9218070273284997	0.739431121026213	0.4687116564417178	0.7401003904071388	0.9042944785276074	0.5630786391522588	0.6683770217512549	0.6470719464584496	0.6938092582264361	0.8820970440602343	0.7745677635248187	0.9199107640825432	0.6234244283324037	0.8232013385387619	0.6179587283881762	0.8652537646402677	0.6408254322364751	0.845287228109314	0.7867261572783045	0.7268265476854434	0.45119910764082544	0.6999442275515895	0.7461238148354713	0.7422197434467374	0.6864472950362521	0.7511433351924149	0.7490239821528165	0.9132180702732849	0.9573898494143893	0.9866146123814835	0.9672058003346347	0.6581148912437256	0.7949804796430563	0.7931957612939208	0.8204127161182376	0.8286670384829894	0.8498605688789738	0.7112102621305075	0.7599553820412717	0.6802007808142777	0.9703290574456218	0.8460680423870608	0.7365309537088678	0.9061907417735638	0.6273284997211378	0.7037367540435026	0.48778583379810375	0.49983268265476855	0.649302844394869	0.5993307306190742	0.5935303959843837	0.6089235917456777	0.7097601784718349	0.7517010596765198	0.6329057445621863	0.6259899609592862	0.6620189626324595	0.6214166201896263
EG-11-MK	0.9355270496374791	0.8261015058561071	0.0	0.8836586726157278	0.7609592861126604	0.8143892916899051	0.8798661461238149	0.875627440044618	0.9356385945343001	0.8827663134411601	0.8478527607361963	0.8287785833798104	0.8206358059118796	0.7587283881762409	0.6770775237032906	0.9146681539319577	0.7484662576687117	0.8825432236475181	0.8163970998326826	0.7947573898494144	0.8172894590072504	0.777244841048522	0.8197434467373118	0.8343558282208589	0.8108198549916341	0.7853876185164529	0.8733965421081985	0.9108756274400446	0.9428890128276631	0.7512548800892359	0.7185722253206915	0.8892359174567763	0.8281093139988845	0.8450641383156721	0.8497490239821528	0.8861126603457892	0.8391522587841607	0.9049637479085332	0.8809815950920246	0.9088678192972671	0.8776352481873955	0.8889012827663134	0.8104852203011712	0.9254880089235917	0.8837702175125488	0.8951477969882878	0.8205242610150586	0.8991634132738427	0.894143892916899	0.822755158951478	0.92069157836029	0.8644729503625209	0.7970998326826547	0.7723368655883993	0.6590072504182933	0.8213050752928054	0.8808700501952036	0.9108756274400446	0.871723368655884	0.8844394868934746	0.9183491355270497	0.9248187395426659	0.833798103736754	0.8665923034021193	0.8160624651422197	0.8175125488008924	0.8751812604573341	0.8187395426659231	0.8857780256553263	0.8556609035136642	0.8273284997211378	0.8661461238148355	0.9028443948689348	0.8255437813720022	0.9221416620189626	0.8698271054099275	0.8592303402119353	0.8047964305633017	0.9187953151143335	0.7460122699386503	0.7590630228667038	0.9059676519799219	0.8591187953151144	0.8524261015058561	0.8883435582822086	0.8623535973229225	0.8139431121026213	0.8499721137757947	0.8619074177356386	0.8885666480758505
EG-13-MK	0.9376464026770776	0.48087005019520357	0.8836586726157278	0.0	0.7763524818739542	0.9158951477969883	0.7720022308979364	0.9563859453430006	0.939542665923034	0.7957612939208031	0.9354155047406582	0.6261015058561071	0.7364194088120468	0.9036252091466815	0.8329057445621862	0.671834913552705	0.9050752928053541	0.9034021193530396	0.7376464026770775	0.7171221416620189	0.8370329057445622	0.8101505856107083	0.7549358616843279	0.8948131622978249	0.886893474623536	0.9012827663134412	0.4585610708310095	0.8874511991076408	0.9512548800892359	0.9000557724484105	0.9099832682654768	0.8134969325153374	0.9552704963747909	0.7674288901282766	0.6002230897936419	0.732069157836029	0.9335192414947017	0.3328499721137758	0.6994980479643056	0.43234802007808143	0.6064696040156163	0.7898494143892917	0.7216954824316788	0.9363078639152259	0.5293920803123258	0.7769102063580591	0.6348020078081428	0.8625766871165644	0.6993865030674846	0.8170663692136084	0.6852203011712215	0.732069157836029	0.6056887897378694	0.7288343558282209	0.7061907417735639	0.720356943669827	0.6697155605131065	0.5058561070831009	0.762297824874512	0.9194645844952594	0.9891801450083658	0.9955382041271612	0.9786949247071947	0.5339654210819855	0.6842163970998327	0.818851087562744	0.7732292247629671	0.886558839933073	0.8789737869492471	0.7073061907417736	0.7798103736754044	0.7931957612939208	0.9789180145008366	0.8437255995538204	0.535750139431121	0.8316787506971556	0.5027328499721138	0.7212493028443949	0.3870607919687674	0.7800334634690463	0.671611823759063	0.6313441160066927	0.7286112660345789	0.7355270496374791	0.6024539877300613	0.7823759063022867	0.6703848298940324	0.5006134969325153	0.6232013385387618	0.4045733407696598
EG-14-MK	0.7127718906860011	0.6808700501952035	0.7609592861126604	0.7763524818739542	0.0	0.8400446179587284	0.6669269380925823	0.7293920803123257	0.7347462353597323	0.7374233128834355	0.8780814277746793	0.5204684885666481	0.7369771332961517	0.5185722253206916	0.7309537088678193	0.8127161182375906	0.5822643614054657	0.8598996095928612	0.6835471277189069	0.8119353039598438	0.4535415504740658	0.6624651422197434	0.7423312883435583	0.6643614054657	0.8068042387060792	0.822532069157836	0.7774679308421639	0.6812046848856664	0.8812046848856665	0.5983268265476854	0.8419408812046849	0.6501952035694367	0.7151143335192415	0.6372559955382041	0.7825989960959286	0.8362520914668153	0.7976575571667596	0.8325711098717233	0.7345231455660903	0.8487451199107641	0.7550474065811489	0.8723926380368098	0.8390407138873397	0.8540992749581706	0.8063580591187953	0.8562186279977692	0.8055772448410485	0.7683212493028444	0.8509760178471835	0.8119353039598438	0.7754601226993865	0.7538204127161182	0.8499721137757947	0.7560513106525376	0.7966536530953708	0.8147239263803681	0.8016731734523146	0.6698271054099275	0.7871723368655884	0.7579475738984941	0.7759063022866703	0.9770217512548801	0.8803123257110987	0.7620747350808701	0.7897378694924707	0.6423870607919687	0.8663692136084774	0.8392638036809816	0.6440602342442833	0.7906302286670385	0.8476296709425544	0.8735080870050195	0.9467930842163971	0.8626882320133854	0.8418293363078639	0.8532069157836029	0.7718906860011154	0.8174010039040714	0.8304517568321249	0.6911321807027329	0.8116006692693809	0.8267707752370329	0.8465142219743447	0.8509760178471835	0.8162855549358616	0.6810931399888455	0.6631344116006692	0.6132738427216955	0.6132738427216955	0.7970998326826547
EG-15-MK	0.9235917456776352	0.9235917456776352	0.8143892916899051	0.9158951477969883	0.8400446179587284	0.0	0.931957612939208	0.690574456218628	0.965755716675962	0.9270496374790853	0.5022866703848299	0.8013385387618517	0.7567205800334634	0.845287228109314	0.8564417177914111	0.9654210819854991	0.7356385945343	0.9588399330730619	0.8776352481873955	0.8089235917456776	0.87930842163971	0.7417735638594535	0.8824316787506972	0.7604015616285555	0.7759063022866703	0.5718906860011155	0.9375348577802566	0.9148912437255996	0.9190184049079755	0.8102621305075293	0.8124930284439487	0.8858895705521472	0.8290016731734523	0.7936419408812047	0.9366424986056888	0.9401003904071389	0.6295593976575572	0.9423312883435583	0.9284997211377579	0.9528165086447296	0.947239263803681	0.9519241494701618	0.8798661461238149	0.9192414947016174	0.9512548800892359	0.9560513106525377	0.8612381483547128	0.9115448968209704	0.9533742331288344	0.8619074177356386	0.9166759620747351	0.9315114333519241	0.9628555493586168	0.7214723926380369	0.9356385945343001	0.7524818739542666	0.9518126045733407	0.9495817066369213	0.7952035694366982	0.890462911321807	0.8697155605131065	0.592414947016174	0.8049079754601227	0.9070831009481316	0.7796988287785834	0.5119910764082544	0.8505298382598996	0.8478527607361963	0.8973786949247072	0.8335750139431121	0.7038482989403235	0.9535973229224763	0.7941996653653095	0.6522030117122142	0.9423312883435583	0.9254880089235917	0.9312883435582822	0.5450083658672615	0.9651979921918572	0.8432794199665365	0.9453430005577245	0.9722253206915784	0.9557166759620748	0.875627440044618	0.9419966536530954	0.9310652537646402	0.8827663134411601	0.8683770217512549	0.8926938092582264	0.9375348577802566
EG-16-MK	0.7639709983268266	0.7766871165644171	0.8798661461238149	0.7720022308979364	0.6669269380925823	0.931957612939208	0.0	0.7122141662018963	0.7564974902398215	0.32704963747908533	0.8330172894590072	0.6172894590072504	0.8428332403792527	0.7466815393195761	0.5145566090351367	0.7575013943112102	0.7194645844952593	0.864026770775237	0.7730061349693251	0.7953151143335192	0.7176798661461238	0.728388176240937	0.5288343558282208	0.7032905744562187	0.879196876742889	0.8926938092582264	0.5878416062465143	0.716787506971556	0.5742331288343558	0.6842163970998327	0.6139431121026213	0.6659230340211936	0.6468488566648076	0.7060791968767429	0.7890686001115449	0.8470719464584495	0.8363636363636363	0.7789180145008366	0.796207473508087	0.8572225320691579	0.7866146123814836	0.8442833240379253	0.8282208588957055	0.6704963747908533	0.8094813162297825	0.8655883993307306	0.7946458449525934	0.3426659230340212	0.8032348020078082	0.8624651422197435	0.7466815393195761	0.7302844394868935	0.8146123814835471	0.8025655326268823	0.762520914668154	0.8547685443390964	0.705633017289459	0.701952035694367	0.569994422755159	0.8472950362520915	0.784829894032348	0.996207473508087	0.9824874511991076	0.8310094813162298	0.9267150027886224	0.6379252649191299	0.9423312883435583	0.9306190741773563	0.7136642498605689	0.8293363078639152	0.8708310094813162	0.8340211935303959	0.9781372002230898	0.845398773006135	0.9264919129949805	0.9039598438371444	0.7969882877858337	0.8455103179029559	0.8403792526491913	0.7502509760178472	0.8140546569994422	0.8102621305075293	0.8016731734523146	0.8262130507529281	0.7322922476296709	0.683100948131623	0.8542108198549916	0.6479643056330173	0.6972671500278862	0.8534300055772448
EG-17-MK	0.7086447295036252	0.9364194088120469	0.875627440044618	0.9563859453430006	0.7293920803123257	0.690574456218628	0.7122141662018963	0.0	0.6556609035136642	0.8728388176240937	0.6827663134411601	0.7010596765197992	0.8607919687674289	0.7569436698271054	0.8325711098717233	0.8319018404907975	0.6138315672058003	0.9325153374233128	0.8864472950362521	0.8242052426101506	0.7702175125488009	0.7107640825432237	0.8410485220301172	0.5453430005577244	0.7401003904071388	0.6842163970998327	0.9040713887339654	0.7179029559397657	0.8363636363636363	0.5992191857222532	0.8091466815393196	0.7409927495817067	0.5790295593976575	0.6468488566648076	0.9382041271611824	0.9647518126045733	0.6168432794199665	0.9325153374233128	0.8825432236475181	0.9582822085889571	0.8925822643614054	0.9820412716118238	0.9050752928053541	0.7994422755158952	0.9723368655883994	0.9664249860568879	0.8925822643614054	0.8156162855549358	0.9750139431121027	0.8614612381483547	0.7984383714445065	0.8949247071946459	0.9814835471277189	0.7606246514221975	0.9306190741773563	0.8152816508644729	0.8914668153931957	0.7370886781929726	0.85287228109314	0.8298940323480201	0.5792526491912995	0.8518683770217512	0.8421639709983268	0.8973786949247072	0.8764082543223648	0.5113218070273285	0.875515895147797	0.8467373117679866	0.7295036252091467	0.8609035136642499	0.7561628555493586	0.9750139431121027	0.8062465142219744	0.8238706079196877	0.973675404350251	0.9494701617401003	0.9124372559955382	0.7684327941996654	0.9846068042387061	0.8035694366982711	0.9693251533742331	0.9931957612939208	0.9628555493586168	0.9153374233128835	0.9097601784718349	0.6950362520914668	0.9115448968209704	0.7312883435582822	0.7521472392638037	0.9367540435025098
EG-18-MK	0.6070273284997212	0.9156720580033464	0.9356385945343001	0.939542665923034	0.7347462353597323	0.965755716675962	0.7564974902398215	0.6556609035136642	0.0	0.8962632459564975	0.9673173452314556	0.8166201896263245	0.8972671500278863	0.7045175683212493	0.8787506971556052	0.8051310652537647	0.543335192414947	0.8447295036252092	0.87585052983826	0.9614054656999442	0.6588957055214724	0.85287228109314	0.8848856664807585	0.41673173452314555	0.8404907975460123	0.9445621862799777	0.9366424986056888	0.5551589514779699	0.8872281093139989	0.6073619631901841	0.950697155605131	0.7552704963747908	0.7517010596765198	0.7365309537088678	0.9152258784160625	0.9332961517010597	0.8261015058561071	0.9211377579475739	0.8887897378694924	0.9349693251533743	0.8742889012827663	0.9560513106525377	0.954712771890686	0.8655883993307306	0.9500278862242052	0.9388733965421082	0.9431121026213051	0.8645844952593419	0.9399888455103179	0.8754043502509761	0.8516452872281093	0.8820970440602343	0.9578360290016732	0.9225878416062465	0.8950362520914669	0.9466815393195761	0.8068042387060792	0.5780256553262688	0.935861684327942	0.8616843279419967	0.5451199107640825	0.9966536530953709	0.9943112102621305	0.9331846068042388	0.9065253764640268	0.7030674846625767	0.9699944227551589	0.8901282766313441	0.5551589514779699	0.9493586168432794	0.9386503067484663	0.894366982710541	0.9850529838259899	0.9504740658114891	0.9466815393195761	0.9258226436140546	0.8587841606246515	0.9461238148354713	0.9617401003904071	0.8573340769659789	0.95861684327942	0.9563859453430006	0.8505298382598996	0.9514779698828778	0.9266034578918014	0.6072504182933631	0.9334076965978807	0.7749023982152816	0.7562744004461796	0.9078639152258784
EG-19-MK	0.886670384829894	0.7447852760736197	0.8827663134411601	0.7957612939208031	0.7374233128834355	0.9270496374790853	0.32704963747908533	0.8728388176240937	0.8962632459564975	0.0	0.8217512548800893	0.6365867261572783	0.7906302286670385	0.7908533184606804	0.4834355828220859	0.8538761851645287	0.8522030117122141	0.8721695482431678	0.7685443390964863	0.8481873954266592	0.7605131065253765	0.8221974344673731	0.5191299498047964	0.8561070831009482	0.8727272727272727	0.894590072504183	0.6101505856107083	0.8471834913552705	0.5871723368655885	0.8141662018962632	0.6344673731176799	0.7522587841606246	0.7713329615170106	0.8127161182375906	0.8016731734523146	0.8510875627440044	0.9010596765197992	0.8240936977133296	0.773452314556609	0.8576687116564418	0.8179587283881763	0.8662576687116564	0.8689347462353597	0.7001673173452314	0.8554378137200223	0.8969325153374234	0.8633575013943112	0.320580033463469	0.8565532626882321	0.8388176240936978	0.8052426101505856	0.8172894590072504	0.8667038482989403	0.830117122141662	0.7785833798103736	0.8466257668711656	0.8141662018962632	0.8439486893474624	0.5670942554378137	0.9009481316229783	0.9408812046848857	0.9972113775794758	0.9799219185722253	0.7558282208588957	0.9077523703290574	0.8462911321807027	0.9286112660345789	0.9309537088678193	0.8522030117122141	0.8712771890686001	0.879531511433352	0.8790853318460681	0.9795872838817624	0.8823201338538762	0.9250418293363079	0.90574456218628	0.8332403792526492	0.8915783602900167	0.8704963747908533	0.7707752370329057	0.8535415504740658	0.8653653095370887	0.8448410485220301	0.8658114891243726	0.7361963190184049	0.8529838259899609	0.7862799776910206	0.7688789737869492	0.8399330730619075	0.852760736196319
